trip_id,driver_id,driver_trip_number,duration_minutes,distance_miles,average_speed_mph,max_speed_mph,harsh_braking_events,harsh_acceleration_events,sharp_cornering_events,phone_usage_seconds,speeding_percent,night_driving,rush_hour,time_of_day,start_zone,end_zone,data_quality_score,gps_accuracy_avg
trip_007901,0146d0dbbee1eb8b,9,33.2,27.63,46.3,58.7,2,0,2,0,0.099,0,0,midday,zone_37.87_-122.57,zone_37.88_-122.55,0.9408781729336796,17.005011156020352
trip_007902,0146d0dbbee1eb8b,10,30.9,26.24,47.1,50.4,0,2,0,0,0.129,0,1,morning_commute,zone_37.65_-122.37,zone_37.61_-122.43,0.9298997925713419,7.725188742743676
trip_007903,0146d0dbbee1eb8b,11,17.7,11.03,40.3,69.5,1,1,0,0,0.033,1,0,early_morning,zone_37.82_-122.33,zone_37.77_-122.29,0.5943502045947734,12.872919644995704
trip_007904,0146d0dbbee1eb8b,12,13.2,9.96,49.8,55.1,0,0,0,0,0.048,1,0,night,zone_37.7_-122.54,zone_37.68_-122.56,0.8989828308888692,7.2242368214254755
trip_009173,015d7c3a8cfbc0e9,1,12.8,5.85,26.7,31.1,0,0,0,0,0.173,0,1,evening_commute,zone_37.53_-122.29,zone_37.52_-122.23,0.892827265245734,8.439781387226471
trip_009174,015d7c3a8cfbc0e9,2,19.0,13.04,23.5,27.6,1,0,1,0,0.068,0,1,evening_commute,zone_37.71_-122.55,zone_37.62_-122.48,0.9236072069251519,6.871842050226327
trip_009175,015d7c3a8cfbc0e9,3,33.2,17.56,33.0,40.5,0,1,2,0,0.04,0,1,evening_commute,zone_37.61_-122.25,zone_37.6_-122.3,0.8651478860624304,18.00093532748066
trip_009176,015d7c3a8cfbc0e9,4,22.3,9.73,28.0,56.8,0,0,0,61,0.066,0,1,evening_commute,zone_37.55_-122.34,zone_37.57_-122.37,0.9086800211313982,12.675062867913528
trip_009177,015d7c3a8cfbc0e9,5,55.6,37.84,35.4,48.9,2,1,1,0,0.128,0,1,evening_commute,zone_37.55_-122.46,zone_37.63_-122.39,0.9404424824248092,11.922315896103072
trip_009178,015d7c3a8cfbc0e9,6,22.7,14.72,31.1,44.6,1,0,0,0,0.087,0,1,morning_commute,zone_37.76_-122.59,zone_37.8_-122.51,0.8719587608199308,18.10153780444123
trip_009179,015d7c3a8cfbc0e9,7,19.7,11.79,33.6,44.5,1,1,1,0,0.063,0,1,evening_commute,zone_37.6_-122.57,zone_37.52_-122.55,0.6318706614009992,26.906248614989504
trip_009180,015d7c3a8cfbc0e9,8,39.4,21.58,38.4,77.6,4,1,2,0,0.039,0,1,morning_commute,zone_37.67_-122.21,zone_37.76_-122.23,0.9710746715006494,10.594493928499382
trip_009181,015d7c3a8cfbc0e9,9,8.6,3.41,39.4,49.4,1,0,0,0,0.029,1,0,night,zone_37.69_-122.32,zone_37.59_-122.24,0.7513614514375256,7.93375214197358
trip_009182,015d7c3a8cfbc0e9,10,13.4,7.9,34.6,39.6,1,0,1,0,0.074,0,1,morning_commute,zone_37.89_-122.53,zone_37.88_-122.58,0.9043969530128206,18.253144067674686
trip_009183,015d7c3a8cfbc0e9,11,29.1,6.95,34.6,48.7,2,1,2,0,0.067,0,1,evening_commute,zone_37.71_-122.41,zone_37.7_-122.39,0.9940341706486271,13.166242903145026
trip_009184,015d7c3a8cfbc0e9,12,20.4,13.59,46.0,66.5,3,2,2,0,0.04,0,0,midday,zone_37.73_-122.41,zone_37.71_-122.32,0.9060938279429979,35.29933283891671
trip_009185,015d7c3a8cfbc0e9,13,9.4,6.13,37.3,46.6,1,1,0,0,0.089,0,0,midday,zone_37.66_-122.32,zone_37.71_-122.42,0.9202534298626639,15.226043511262679
trip_009186,015d7c3a8cfbc0e9,14,36.0,15.25,32.9,46.3,2,1,1,0,0.036,0,1,evening_commute,zone_37.67_-122.27,zone_37.73_-122.19,0.944260912969199,23.312715912485356
trip_009187,015d7c3a8cfbc0e9,15,32.7,22.9,30.5,36.3,2,3,2,0,0.073,0,1,evening_commute,zone_37.64_-122.4,zone_37.58_-122.34,0.9935410287111529,18.664331555316465
trip_009188,015d7c3a8cfbc0e9,16,44.3,15.1,32.6,38.0,4,2,1,0,0.136,0,1,morning_commute,zone_37.67_-122.33,zone_37.67_-122.23,0.904410418235567,38.56484944151666
trip_009189,015d7c3a8cfbc0e9,17,9.2,6.54,43.4,62.0,0,0,1,32,0.118,0,1,morning_commute,zone_37.51_-122.4,zone_37.53_-122.49,0.9911469040444494,31.522750600500686
trip_009190,015d7c3a8cfbc0e9,18,22.5,10.06,33.4,37.0,0,2,1,0,0.017,0,1,evening_commute,zone_37.81_-122.58,zone_37.74_-122.67,0.9543158738896752,18.097910025137125
trip_009191,015d7c3a8cfbc0e9,19,8.3,4.75,40.2,46.3,0,0,0,0,0.049,0,0,midday,zone_37.64_-122.35,zone_37.59_-122.26,0.9820873936414052,17.931797086495706
trip_009192,015d7c3a8cfbc0e9,20,29.1,22.39,31.7,35.1,0,1,1,0,0.039,1,0,night,zone_37.64_-122.32,zone_37.67_-122.23,0.9872208868484526,12.33436666077921
trip_006881,017188caf2097abf,1,35.3,28.48,25.2,28.4,0,1,0,0,0.014,0,1,morning_commute,zone_37.54_-122.25,zone_37.63_-122.23,0.8515307704446365,29.60071322503911
trip_006882,017188caf2097abf,2,35.1,18.68,35.2,45.4,0,2,1,0,0.015,0,0,midday,zone_37.56_-122.38,zone_37.51_-122.29,0.9833105034243148,9.299103351676655
trip_006883,017188caf2097abf,3,14.4,8.04,22.8,23.8,2,2,0,0,0.003,0,1,morning_commute,zone_37.78_-122.43,zone_37.73_-122.4,0.866114363263204,18.151897281537316
trip_006884,017188caf2097abf,4,13.1,4.34,28.3,35.7,0,1,1,0,0.022,0,1,evening_commute,zone_37.9_-122.57,zone_37.86_-122.53,0.8321611038306352,6.591667104694461
trip_006885,017188caf2097abf,5,31.6,13.14,36.7,37.2,2,0,0,0,0.036,0,1,evening_commute,zone_37.66_-122.2,zone_37.58_-122.3,0.9516236598951358,21.472617290762948
trip_006886,017188caf2097abf,6,26.3,20.01,35.9,45.6,0,1,1,0,0.007,0,0,midday,zone_37.58_-122.49,zone_37.68_-122.44,0.9911158852177948,7.214570381114758
trip_006887,017188caf2097abf,7,9.9,5.61,26.6,32.3,0,0,0,0,0.005,0,1,morning_commute,zone_37.59_-122.56,zone_37.55_-122.66,0.6157842585837432,14.921880009397837
trip_006888,017188caf2097abf,8,31.0,20.1,37.9,48.2,0,0,1,0,0.019,0,0,midday,zone_37.75_-122.26,zone_37.85_-122.25,0.925772682875531,14.187937866051268
trip_006889,017188caf2097abf,9,41.7,23.45,33.2,42.6,0,2,0,0,0.025,1,0,early_morning,zone_37.83_-122.21,zone_37.89_-122.13,0.6304059777795714,12.349836189067606
trip_006890,017188caf2097abf,10,89.3,16.02,31.5,43.4,1,2,1,0,0.022,0,1,evening_commute,zone_37.82_-122.59,zone_37.79_-122.64,0.9327589232862308,8.76824922021855
trip_006891,017188caf2097abf,11,66.5,15.51,28.7,41.9,1,0,1,0,0.042,0,1,morning_commute,zone_37.75_-122.59,zone_37.76_-122.62,0.9210867392714186,40.50284910271999
trip_006892,017188caf2097abf,12,29.6,8.41,22.5,26.1,0,1,0,0,0.01,0,1,evening_commute,zone_37.76_-122.59,zone_37.73_-122.52,0.8387618036560196,10.375197224139205
trip_006893,017188caf2097abf,13,24.8,8.19,21.3,36.2,2,1,0,0,0.005,0,1,morning_commute,zone_37.86_-122.33,zone_37.77_-122.41,0.9338004289021636,6.197934718796607
trip_006894,017188caf2097abf,14,13.3,6.78,34.3,38.5,0,0,0,0,0.008,1,0,early_morning,zone_37.55_-122.47,zone_37.62_-122.44,0.6148530915826724,8.943519536675174
trip_006895,017188caf2097abf,15,25.3,20.84,30.8,38.9,0,0,0,0,0.027,0,1,evening_commute,zone_37.69_-122.41,zone_37.64_-122.46,0.7968276115668964,12.661046740036129
trip_006896,017188caf2097abf,16,29.2,14.51,33.7,40.2,0,0,1,0,0.004,1,0,night,zone_37.84_-122.23,zone_37.93_-122.29,0.7933150557207783,12.995174437618644
trip_006897,017188caf2097abf,17,20.4,10.79,34.1,36.8,0,1,0,0,0.016,0,1,evening_commute,zone_37.88_-122.28,zone_37.95_-122.19,0.9467475743918875,18.350356299927846
trip_006898,017188caf2097abf,18,23.6,12.66,32.1,36.7,0,1,0,0,0.006,0,0,midday,zone_37.84_-122.35,zone_37.78_-122.33,0.9296113685386109,18.124267088297884
trip_006899,017188caf2097abf,19,56.2,39.94,37.5,54.2,0,1,2,0,0.013,0,1,evening_commute,zone_37.88_-122.4,zone_37.85_-122.48,0.6832444084763096,13.014948146709468
trip_006900,017188caf2097abf,20,17.2,6.3,27.8,46.4,0,0,0,0,0.013,0,1,evening_commute,zone_37.76_-122.42,zone_37.8_-122.52,0.9450675846614595,28.784274378826705
trip_006901,017188caf2097abf,21,32.5,17.56,34.7,39.1,0,0,0,0,0.043,0,1,evening_commute,zone_37.79_-122.45,zone_37.77_-122.42,0.8408758066148523,24.948011599601276
trip_015252,01d62493148fcd53,1,25.0,12.43,47.1,53.8,4,2,1,0,0.38,0,0,midday,zone_37.63_-122.55,zone_37.59_-122.58,0.7498449578280074,13.751401672440622
