driver_id,total_trips,duration_minutes_mean,duration_minutes_std,total_driving_time_minutes,distance_miles_mean,distance_miles_std,total_distance_miles,average_speed_mph_mean,average_speed_mph_std,max_speed_mph_mean,max_speed_mph_max,harsh_braking_events_mean,harsh_braking_events_sum,harsh_acceleration_events_mean,harsh_acceleration_events_sum,sharp_cornering_events_mean,sharp_cornering_events_sum,total_harsh_events_mean,total_harsh_events_sum,harsh_events_per_mile_mean,harsh_events_per_minute_mean,phone_usage_seconds_mean,phone_usage_seconds_sum,phone_usage_percent_mean,phone_usage_flag_mean,excessive_phone_use_mean,speeding_percent_mean,speed_variance_mean,speed_ratio_mean,high_speed_flag_mean,excessive_speed_flag_mean,night_driving_mean,rush_hour_mean,high_risk_time_mean,long_trip_flag_mean,short_trip_flag_mean,extended_duration_flag_mean,trip_efficiency_mean,data_quality_score_mean,gps_accuracy_avg_mean,low_quality_data_mean,poor_gps_accuracy_mean,avg_trips_per_day,avg_miles_per_trip,avg_duration_per_trip,harsh_driving_intensity,speed_risk_score,distraction_risk_score,timing_risk_score,composite_risk_score,risk_category,high_mileage_driver,frequent_driver,consistent_driver
024d8c687de4b359,12,25.1333,16.2659,301.6,15.45,10.3379,185.4,32.575,7.153,41.7083,60.0,1.25,15,0.6667,8,0.5833,7,2.5,30,0.293,0.1066,0.0,0,0.0,0.0,0.0,0.0598,9.1333,1.2903,0.0,0.0,0.0833,0.5833,0.6667,0.0,0.1667,0.0,0.5935,0.9006,14.4961,0.1667,0.5833,0.4,15.450000000000001,25.133333333333336,2.5,0.02392,0.0,7.0825000000000005,26.423676,High,0,0,1
024edf1e5e9cbf32,25,36.824,32.0762,920.6,21.9724,15.1099,549.31,36.82,4.8001,45.148,62.1,1.96,49,1.64,41,1.24,31,4.84,121,0.2247,0.1302,0.48,12,0.0208,0.08,0.0,0.1042,8.328,1.231,0.0,0.0,0.36,0.52,0.88,0.08,0.0,0.04,0.6288,0.9126,17.6075,0.12,0.76,0.8333333333333334,21.972399999999997,36.824,4.84,0.04168,0.0416,10.6,50.553304,Very High,0,0,0
02aa88a7a4d61490,7,29.4286,12.5404,206.0,14.1257,7.1631,98.88,32.9714,6.4505,42.6143,62.5,0.2857,2,0.7143,5,0.1429,1,1.1429,8,0.0962,0.0391,0.0,0,0.0,0.0,0.0,0.0236,9.6429,1.2936,0.0,0.0,0.0,0.5714,0.5714,0.0,0.1429,0.0,0.4722,0.8611,10.7797,0.4286,0.7143,0.23333333333333334,14.125714285714285,29.428571428571427,1.1429,0.00944,0.0,5.714,12.574632,Medium,0,0,1
02d2151b7e500066,11,26.7818,10.8421,294.6,14.5027,9.3546,159.53,28.4636,5.9166,38.3818,59.5,1.0909,12,1.0909,12,0.8182,9,3.0,33,0.236,0.1081,0.0,0,0.0,0.0,0.0,0.0824,9.9182,1.4107,0.0,0.0,0.2727,0.7273,1.0,0.0,0.0909,0.0,0.5076,0.8835,14.6317,0.2727,0.7273,0.36666666666666664,14.502727272727272,26.781818181818185,3.0,0.03296,0.0,11.363499999999998,32.282588,High,0,0,1
02e1bb210ea1c621,14,31.9571,14.0522,447.4,23.5786,14.0163,330.1,39.3143,3.5301,50.0643,74.3,5.5714,78,3.7857,53,2.5,35,11.8571,166,0.5712,0.3772,12.7143,178,0.5847,0.2143,0.0,0.37,10.75,1.2762,0.0,0.0,0.4286,0.5,0.9286,0.0,0.0,0.0,0.7058,0.8969,18.3084,0.0714,0.7857,0.4666666666666667,23.57857142857143,31.957142857142856,11.857099999999999,0.148,1.1694,11.428999999999998,121.48589999999999,Very High,0,0,1
03016a467db4eb4f,15,26.1533,17.9773,392.3,22.7953,14.976,341.93,53.4133,3.9219,59.08,70.5,3.2,48,2.9333,44,2.4667,37,8.6,129,0.4072,0.3604,4.6,69,0.8417,0.1333,0.0667,0.3097,5.6667,1.1059,0.0,0.0,0.1333,0.6,0.7333,0.0667,0.0667,0.0,0.8947,0.9162,16.4166,0.0,0.8,0.5,22.795333333333335,26.153333333333332,8.6,0.12387999999999999,3.0174,7.9995,89.14576400000001,Very High,0,0,1
0320d4a70b93d474,17,30.3824,17.6165,516.5,19.6653,13.8744,334.31,38.4882,5.9031,45.2059,65.5,1.6471,28,1.2941,22,1.2941,22,4.2353,72,0.2357,0.1441,1.4118,24,0.1867,0.0588,0.0,0.0638,6.7176,1.1735,0.0,0.0,0.1765,0.5882,0.7647,0.0588,0.0588,0.0,0.6265,0.9103,15.0246,0.0588,0.7647,0.5666666666666667,19.665294117647058,30.38235294117647,4.2353000000000005,0.02552,0.3734,8.529499999999999,44.25325600000001,High,0,0,1
03e2ee360ab3e3b6,21,30.4667,12.8772,639.8,26.9719,16.5979,566.41,46.6333,3.6255,56.2286,69.1,4.4762,94,2.9048,61,3.0952,65,10.4762,220,0.4293,0.3526,2.619,55,0.2086,0.1429,0.0,0.3176,9.5952,1.2062,0.0,0.0,0.0476,0.8095,0.8571,0.0476,0.0,0.0,0.8601,0.9243,12.7962,0.0952,0.5714,0.7,26.97190476190476,30.466666666666665,10.4762,0.12704000000000001,0.4172,8.809000000000001,106.770512,Very High,0,0,1
03e8b760f1fa27c4,11,30.4818,12.3913,335.3,20.2745,10.7077,223.02,37.2727,4.8841,47.5455,66.6,1.6364,18,1.3636,15,0.5455,6,3.5455,39,0.1909,0.1202,0.0,0,0.0,0.0,0.0,0.1045,10.2727,1.2754,0.0,0.0,0.0909,0.6364,0.7273,0.0,0.0,0.0,0.6517,0.866,15.5571,0.2727,0.5455,0.36666666666666664,20.274545454545457,30.481818181818184,3.5455,0.041800000000000004,0.0,7.7275,37.01304,High,0,0,1
03ecccc7155322b2,15,27.4933,19.5911,412.4,17.0833,11.1186,256.25,37.5933,3.9719,47.92,60.4,3.5333,53,3.4,51,2.0667,31,9.0,135,0.5172,0.3191,2.4,36,0.168,0.1333,0.0,0.3591,10.3267,1.2846,0.0,0.0,0.2667,0.6,0.8667,0.0667,0.0,0.0,0.6524,0.8987,14.2299,0.2,0.8667,0.5,17.083333333333332,27.493333333333332,9.0,0.14364,0.336,10.000499999999999,92.21119200000001,Very High,0,0,1
043a47b4bee22db8,21,29.2762,13.6373,614.8,13.9614,8.446,293.19,26.6286,5.375,35.3048,47.5,0.6667,14,0.2857,6,0.381,8,1.3333,28,0.1202,0.0451,5.8571,123,0.481,0.1905,0.0,0.0194,8.6762,1.3501,0.0,0.0,0.0952,0.619,0.7143,0.0,0.0952,0.0,0.4707,0.9171,16.6987,0.0476,0.8571,0.7,13.961428571428572,29.276190476190475,1.3334,0.00776,0.962,7.617999999999999,15.340928,Medium,0,0,1
0478f87710a407a1,19,26.7579,14.3191,508.4,15.0863,8.917,286.64,32.8368,6.0202,43.3895,62.4,0.9474,18,0.7895,15,0.7895,15,2.5263,48,0.1627,0.0885,2.4211,46,0.5235,0.1053,0.0,0.0718,10.5526,1.3194,0.0,0.0,0.2105,0.7368,0.9474,0.0,0.1053,0.0,0.5522,0.9213,19.9707,0.0526,0.8421,0.6333333333333333,15.086315789473684,26.757894736842104,2.5263999999999998,0.028720000000000002,1.047,10.525500000000001,27.901215999999994,High,0,0,1
04c70be71912c3c3,16,39.4438,24.171,631.1,16.4612,9.9863,263.38,24.7625,5.2556,36.0062,52.1,0.8125,13,0.8125,13,0.25,4,1.875,30,0.1507,0.0478,4.75,76,0.4247,0.125,0.0,0.0153,11.2437,1.4811,0.0,0.0,0.1875,0.625,0.8125,0.0,0.1875,0.0,0.4389,0.9106,13.9164,0.125,0.6875,0.5333333333333333,16.46125,39.44375,1.875,0.0061200000000000004,0.8494,9.0625,20.989036000000002,Medium,0,0,1
04ceec91107dc873,16,20.6,12.8225,329.6,14.0581,7.9468,224.93,41.4312,3.8351,53.6312,65.1,0.8125,13,0.6875,11,0.6875,11,2.1875,35,0.1563,0.1041,6.375,102,0.3715,0.0625,0.0,0.075,12.2,1.2965,0.0,0.0,0.3125,0.625,0.9375,0.0,0.0,0.0,0.7169,0.9056,14.8285,0.1875,0.6875,0.5333333333333333,14.058125,20.6,2.1875,0.03,0.743,10.9375,24.443,Medium,0,0,1
0500d99d55356a86,15,45.0667,22.592,676.0,18.5113,10.0884,277.67,26.1867,5.6132,34.0333,47.6,2.8,42,1.8667,28,1.4667,22,6.1333,92,0.3797,0.1379,1.3333,20,0.0394,0.0667,0.0,0.0875,7.8467,1.315,0.0,0.0,0.1333,0.4667,0.6,0.0,0.0,0.0,0.4229,0.8686,15.3767,0.2,0.8,0.5,18.511333333333333,45.06666666666667,6.1334,0.034999999999999996,0.0788,6.6665,62.717200000000005,Very High,0,0,1
050e99608b5d3471,17,27.9059,20.2329,474.4,13.6147,8.8171,231.45,34.0588,4.2338,42.8059,59.8,0.3529,6,0.5294,9,0.4118,7,1.2941,22,0.1211,0.0447,1.8235,31,0.1197,0.0588,0.0,0.0188,8.7471,1.2583,0.0,0.0,0.2353,0.5882,0.8235,0.0,0.1765,0.0,0.493,0.8675,15.7806,0.2353,0.8235,0.5666666666666667,13.61470588235294,27.905882352941177,1.2941,0.007520000000000001,0.2394,9.4115,14.945256,Medium,0,0,1
0514f1f0ac33941e,12,20.9917,9.6376,251.9,12.7408,8.2722,152.89,37.35,5.5313,48.0333,60.7,1.0,12,0.5,6,0.6667,8,2.1667,26,0.2069,0.1078,12.5,150,1.0812,0.3333,0.0,0.1095,10.6833,1.2966,0.0,0.0,0.0833,0.75,0.8333,0.0,0.0833,0.0,0.6019,0.9055,13.8237,0.0833,0.75,0.4,12.740833333333333,20.991666666666667,2.1667,0.043800000000000006,2.1624,8.7495,24.51124,Medium,0,0,1
0556a2482529e355,16,30.3875,16.9364,486.2,21.2456,12.011,339.93,44.4938,5.2428,53.8625,67.8,1.125,18,1.0,16,0.875,14,3.0,48,0.1606,0.1043,7.5,120,0.5018,0.1875,0.0,0.0692,9.3687,1.2119,0.0,0.0,0.125,0.6875,0.8125,0.0,0.0,0.0,0.6938,0.9102,15.1286,0.0625,0.6875,0.5333333333333333,21.245625,30.3875,3.0,0.02768,1.0036,8.75,32.260104,High,0,0,1
05a8f7f043ac3982,18,36.7333,21.7896,661.2,21.5589,18.3199,388.06,34.45,5.1189,43.7778,54.9,2.7222,49,1.0,18,0.9444,17,4.6667,84,0.215,0.1235,3.8889,70,0.2839,0.1111,0.0,0.0658,9.3278,1.272,0.0,0.0,0.3889,0.5,0.8889,0.0556,0.0556,0.0,0.5693,0.9136,13.1928,0.1111,0.7778,0.6,21.558888888888887,36.733333333333334,4.6666,0.02632,0.5678,10.8335,49.124496,High,0,0,1
05e8bd2df7e519dd,11,30.2909,16.5085,333.2,22.1573,12.5799,243.73,41.4545,3.8944,52.0636,64.5,2.2727,25,1.3636,15,0.6364,7,4.2727,47,0.171,0.1266,0.0,0,0.0,0.0,0.0,0.1074,10.6091,1.2565,0.0,0.0,0.0909,0.7273,0.8182,0.0,0.0,0.0,0.7451,0.8674,13.7398,0.2727,0.5455,0.36666666666666664,22.157272727272726,30.29090909090909,4.2726999999999995,0.04296,0.0,8.6365,44.46718799999999,High,0,0,1
06050bc4896d9844,11,29.3,22.717,322.3,17.9,16.626,196.9,40.1182,4.6126,48.6273,58.6,1.5455,17,0.8182,9,1.2727,14,3.6364,40,0.2433,0.1324,0.0,0,0.0,0.0,0.0,0.0822,8.5091,1.2077,0.0,0.0,0.0909,0.7273,0.8182,0.0909,0.1818,0.0,0.5876,0.8735,13.1588,0.2727,0.8182,0.36666666666666664,17.900000000000002,29.3,3.6364,0.03288,0.0,8.6365,38.101164000000004,High,0,0,1
06288e4c8d00b0d3,14,25.9143,13.7394,362.8,19.5386,10.3943,273.54,47.7643,4.4332,55.7571,70.5,4.7857,67,3.2857,46,1.8571,26,9.9286,139,0.5192,0.3986,15.7857,221,1.6601,0.3571,0.0714,0.4045,7.9929,1.1676,0.0,0.0,0.1429,0.6429,0.7857,0.0,0.0,0.0,0.7788,0.8904,19.9377,0.1429,0.9286,0.4666666666666667,19.53857142857143,25.914285714285715,9.9285,0.16180000000000003,4.7482,8.5725,103.42214,Very High,0,0,1
063db340fb8e0f97,10,37.36,17.5967,373.6,19.598,11.8314,195.98,28.97,4.3833,38.76,51.2,1.2,12,1.8,18,0.5,5,3.5,35,0.2271,0.1007,4.7,47,0.2534,0.2,0.0,0.0842,9.79,1.3531,0.0,0.0,0.1,0.8,0.9,0.0,0.1,0.0,0.5108,0.9002,13.2234,0.1,0.7,0.3333333333333333,19.598,37.36,3.5,0.03368,0.5068,9.5,37.163503999999996,High,0,0,1
066218a84d5cc1c9,16,28.8375,16.7422,461.4,21.2519,15.0255,340.03,42.9438,5.4261,52.4688,66.4,4.125,66,3.375,54,2.625,42,10.125,162,0.5186,0.3543,3.25,52,0.208,0.25,0.0,0.3988,9.525,1.2286,0.0,0.0,0.1875,0.5,0.6875,0.0625,0.0625,0.0,0.7034,0.8779,12.9627,0.1875,0.75,0.5333333333333333,21.251875,28.8375,10.125,0.15952,0.416,7.8125,103.068356,Very High,0,0,1
070df6df0795a330,13,21.8846,9.8354,284.5,10.7977,5.4749,140.37,36.9385,2.4754,47.7462,59.7,0.8462,11,1.2308,16,0.4615,6,2.5385,33,0.2672,0.1174,1.4615,19,0.1188,0.0769,0.0,0.0762,10.8077,1.2946,0.0,0.0,0.1538,0.4615,0.6154,0.0,0.0769,0.0,0.5081,0.9106,15.2609,0.1538,0.6923,0.43333333333333335,10.797692307692309,21.884615384615383,2.5385,0.030480000000000004,0.2376,6.922000000000001,26.897343999999997,High,0,0,1
07ed9e5ea24fbf57,9,36.4889,15.1027,328.4,19.1844,12.772,172.66,29.8222,5.1397,40.0333,52.9,1.4444,13,1.8889,17,0.7778,7,4.1111,37,0.2645,0.1081,5.0,45,0.3037,0.2222,0.0,0.1181,10.2111,1.3523,0.0,0.0,0.3333,0.5556,0.8889,0.0,0.0,0.0,0.4964,0.9082,15.6759,0.0,0.6667,0.3,19.184444444444445,36.48888888888889,4.1111,0.047240000000000004,0.6074,10.555499999999999,43.539972000000006,High,0,0,1
07fdca7700ba797f,15,26.2467,16.7532,393.7,20.8447,13.6644,312.67,44.9,5.2749,51.5267,64.0,4.0667,61,2.8,42,2.4,36,9.2667,139,0.4132,0.322,0.9333,14,0.3111,0.0667,0.0,0.47,6.6267,1.1487,0.0,0.0,0.2,0.4667,0.6667,0.0667,0.0667,0.0,0.807,0.8951,15.2411,0.0667,0.8,0.5,20.84466666666667,26.246666666666666,9.2667,0.188,0.6222,7.667,94.5679,Very High,0,0,1
081d00880c55fd16,7,31.9,17.8238,223.3,17.5243,10.7022,122.67,36.7857,5.9586,46.6429,63.3,0.4286,3,0.7143,5,0.2857,2,1.4286,10,0.0715,0.0389,0.0,0,0.0,0.0,0.0,0.0187,9.8571,1.257,0.0,0.0,0.4286,0.4286,0.8571,0.0,0.0,0.0,0.5461,0.9503,14.7915,0.0,0.8571,0.23333333333333334,17.524285714285714,31.900000000000002,1.4286,0.0074800000000000005,0.0,10.715,16.431244,Medium,0,0,1
081d27c165b6386c,18,36.4667,20.0566,656.4,20.5878,11.359,370.58,32.6667,4.6458,41.6389,51.0,0.6111,11,0.8889,16,0.3333,6,1.8333,33,0.0809,0.0468,10.7778,194,0.432,0.1667,0.0,0.0148,8.9722,1.2958,0.0,0.0,0.2778,0.5,0.7778,0.0,0.0556,0.0,0.5599,0.881,13.9462,0.2222,0.6111,0.6,20.587777777777777,36.46666666666667,1.8333,0.005920000000000001,0.864,9.167,20.600175999999998,Medium,0,0,1
0888235c045daf67,12,25.65,23.8654,307.8,14.7992,13.9641,177.59,32.7583,4.5115,39.2583,43.3,1.6667,20,1.4167,17,0.5833,7,3.6667,44,0.2843,0.1393,0.0,0,0.0,0.0,0.0,0.0929,6.5,1.2086,0.0,0.0,0.3333,0.5833,0.9167,0.0,0.25,0.0,0.5615,0.9005,15.8048,0.0833,0.75,0.4,14.799166666666666,25.650000000000002,3.6667,0.03716,0.0,10.8325,38.844648,High,0,0,1
08f4ec83b20850bb,16,32.85,19.8433,525.6,21.3169,17.7468,341.07,32.2688,4.9346,43.875,69.4,2.125,34,1.625,26,1.125,18,4.875,78,0.3258,0.1691,5.0625,81,0.1757,0.1875,0.0,0.0972,11.6062,1.3645,0.0,0.0,0.1875,0.75,0.9375,0.125,0.0625,0.0,0.5966,0.9629,12.3839,0.0,0.625,0.5333333333333333,21.316875,32.85,4.875,0.03888,0.3514,10.3125,50.999864,Very High,0,0,1
097a5c217bea7882,14,27.0429,17.614,378.6,21.2243,14.7,297.14,45.2286,4.4055,57.8214,75.8,1.1429,16,1.5714,22,0.7857,11,3.5,49,0.1613,0.1217,0.0,0,0.0,0.0,0.0,0.0814,12.5929,1.2818,0.0,0.0,0.2857,0.5714,0.8571,0.0714,0.0714,0.0,0.7724,0.8853,12.5266,0.0714,0.6429,0.4666666666666667,21.224285714285713,27.042857142857144,3.4999999999999996,0.03256,0.0,9.999500000000001,37.00966799999999,High,0,0,1
0981e4565d131851,9,24.0333,11.4116,216.3,13.5289,7.9173,121.76,37.3222,5.7188,46.5,57.3,1.1111,10,0.8889,8,0.3333,3,2.3333,21,0.1622,0.0876,1.6667,15,0.1298,0.1111,0.0,0.0768,9.1778,1.2454,0.0,0.0,0.2222,0.6667,0.8889,0.0,0.1111,0.0,0.5817,0.9432,20.9068,0.0,0.6667,0.3,13.52888888888889,24.033333333333335,2.3333,0.030719999999999997,0.2596,10.0,25.472015999999996,High,0,0,1
09e3a9a78550ca1e,14,23.65,9.0735,331.1,7.4579,4.9505,104.41,18.15,6.2745,28.6929,48.9,0.7143,10,0.6429,9,1.2143,17,2.5714,36,0.3963,0.1104,9.8571,138,0.6741,0.2143,0.0,0.0773,10.5429,1.6776,0.0,0.0,0.0714,0.6429,0.7143,0.0,0.3571,0.0,0.3384,0.9064,10.9123,0.1429,0.4286,0.4666666666666667,7.457857142857143,23.650000000000002,2.5715000000000003,0.03092,1.3482,7.5,27.898376000000003,High,0,0,1
09ece57a2f8ff75f,14,34.7071,23.3994,485.9,25.1207,16.9259,351.69,46.8929,5.257,55.1786,72.8,2.3571,33,1.5714,22,0.8571,12,4.7857,67,0.185,0.1318,4.0,56,0.2211,0.2143,0.0,0.0931,8.2857,1.1805,0.0,0.0,0.2857,0.4286,0.7143,0.0714,0.1429,0.0,0.7395,0.8972,13.7006,0.1429,0.6429,0.4666666666666667,25.120714285714286,34.707142857142856,4.7856,0.03724,0.4422,8.5715,49.802572,High,0,0,1
0a01192258f18886,18,29.5056,18.122,531.1,13.5183,10.7107,243.33,27.6722,5.0279,41.0778,69.5,1.7222,31,1.2222,22,0.7222,13,3.6667,66,0.1786,0.1231,0.8333,15,0.0684,0.0556,0.0,0.0884,13.4056,1.4925,0.0,0.0,0.0556,0.7222,0.7778,0.0,0.2222,0.0,0.4613,0.9116,16.1965,0.0556,0.8333,0.6,13.518333333333334,29.505555555555556,3.6666,0.03536,0.1368,8.056,38.35620799999999,High,0,0,1
0a1244a4e5f02ffe,23,28.0391,19.8341,644.9,10.053,9.978,231.22,20.4174,4.812,30.713,40.4,0.3043,7,0.3913,9,0.3043,7,1.0,23,0.1705,0.0305,1.087,25,0.035,0.0435,0.0,0.021,10.2957,1.5652,0.0,0.0,0.2174,0.5217,0.7391,0.0,0.4348,0.0,0.361,0.925,16.6052,0.0435,0.7826,0.7666666666666667,10.05304347826087,28.039130434782606,0.9999,0.008400000000000001,0.07,8.478000000000002,11.732120000000002,Medium,0,0,1
0a69eb2b1ef8088b,15,37.0933,13.9852,556.4,27.5447,13.5496,413.17,44.0933,3.94,52.14,64.8,1.4,21,1.3333,20,0.9333,14,3.6667,55,0.141,0.0923,1.2,18,0.0607,0.1333,0.0,0.0763,8.0467,1.1794,0.0,0.0,0.1333,0.6,0.7333,0.0667,0.0,0.0,0.7417,0.9122,13.6025,0.0667,0.5333,0.5,27.544666666666668,37.093333333333334,3.6666,0.030520000000000005,0.1214,7.9995,38.33575599999999,High,0,0,1
